"Index Num","Country of Origin","Country of Origin-ISO2","Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
59,AF,Afghanistan,5,2019,03,Total,Females,Italy
63,AF,Afghanistan,5,2019,01,Total,Females,Lithuania
66,AF,Afghanistan,5,2019,01,Total,Females,Luxembourg
67,AF,Afghanistan,5,2019,02,Total,Females,Luxembourg
68,AF,Afghanistan,5,2019,03,Total,Females,Luxembourg
75,AF,Afghanistan,5,2019,01,Total,Females,Netherlands
76,AF,Afghanistan,10,2019,02,Total,Females,Netherlands
77,AF,Afghanistan,5,2019,03,Total,Females,Netherlands
90,AF,Afghanistan,20,2019,01,Total,Females,Sweden
91,AF,Afghanistan,30,2019,02,Total,Females,Sweden
92,AF,Afghanistan,20,2019,03,Total,Females,Sweden
94,AF,Afghanistan,5,2019,02,Total,Females,Slovenia
95,AF,Afghanistan,5,2019,03,Total,Females,Slovenia
99,AF,Afghanistan,1200,2019,01,Total,Females,Total
100,AF,Afghanistan,990,2019,02,Total,Females,Total
101,AF,Afghanistan,1205,2019,03,Total,Females,Total
102,AF,Afghanistan,40,2019,01,Total,Females,"United Kingdom"
103,AF,Afghanistan,35,2019,02,Total,Females,"United Kingdom"
104,AF,Afghanistan,55,2019,03,Total,Females,"United Kingdom"
210,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Females,Austria
211,AF,Afghanistan,5,2019,02,"From 14 to 17 years",Females,Austria
212,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Females,Austria
213,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Females,Belgium
214,AF,Afghanistan,5,2019,02,"From 14 to 17 years",Females,Belgium
215,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Females,Belgium
228,AF,Afghanistan,15,2019,01,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
229,AF,Afghanistan,10,2019,02,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
230,AF,Afghanistan,20,2019,03,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
237,AF,Afghanistan,65,2019,01,"From 14 to 17 years",Females,Greece
238,AF,Afghanistan,45,2019,02,"From 14 to 17 years",Females,Greece
239,AF,Afghanistan,55,2019,03,"From 14 to 17 years",Females,Greece
243,AF,Afghanistan,100,2019,01,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
244,AF,Afghanistan,75,2019,02,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
245,AF,Afghanistan,95,2019,03,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
246,AF,Afghanistan,105,2019,01,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
247,AF,Afghanistan,75,2019,02,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
248,AF,Afghanistan,100,2019,03,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
254,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Females,France
300,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Females,Sweden
301,AF,Afghanistan,5,2019,02,"From 14 to 17 years",Females,Sweden
309,AF,Afghanistan,105,2019,01,"From 14 to 17 years",Females,Total
310,AF,Afghanistan,80,2019,02,"From 14 to 17 years",Females,Total
311,AF,Afghanistan,100,2019,03,"From 14 to 17 years",Females,Total
312,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Females,"United Kingdom"
313,AF,Afghanistan,5,2019,02,"From 14 to 17 years",Females,"United Kingdom"
314,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Females,"United Kingdom"
315,AF,Afghanistan,10,2019,01,"From 18 to 34 years",Females,Austria
316,AF,Afghanistan,15,2019,02,"From 18 to 34 years",Females,Austria
317,AF,Afghanistan,10,2019,03,"From 18 to 34 years",Females,Austria
318,AF,Afghanistan,15,2019,01,"From 18 to 34 years",Females,Belgium
319,AF,Afghanistan,5,2019,02,"From 18 to 34 years",Females,Belgium
320,AF,Afghanistan,10,2019,03,"From 18 to 34 years",Females,Belgium
324,AF,Afghanistan,10,2019,01,"From 18 to 34 years",Females,Switzerland
325,AF,Afghanistan,10,2019,02,"From 18 to 34 years",Females,Switzerland
326,AF,Afghanistan,15,2019,03,"From 18 to 34 years",Females,Switzerland
333,AF,Afghanistan,80,2019,01,"From 18 to 34 years",Females,"Germany (until 1990 former territory of the FRG)"
334,AF,Afghanistan,50,2019,02,"From 18 to 34 years",Females,"Germany (until 1990 former territory of the FRG)"
335,AF,Afghanistan,75,2019,03,"From 18 to 34 years",Females,"Germany (until 1990 former territory of the FRG)"
342,AF,Afghanistan,225,2019,01,"From 18 to 34 years",Females,Greece
343,AF,Afghanistan,185,2019,02,"From 18 to 34 years",Females,Greece
344,AF,Afghanistan,200,2019,03,"From 18 to 34 years",Females,Greece
348,AF,Afghanistan,350,2019,01,"From 18 to 34 years",Females,"European Union - 27 countries (from 2020)"
349,AF,Afghanistan,290,2019,02,"From 18 to 34 years",Females,"European Union - 27 countries (from 2020)"
350,AF,Afghanistan,340,2019,03,"From 18 to 34 years",Females,"European Union - 27 countries (from 2020)"
351,AF,Afghanistan,365,2019,01,"From 18 to 34 years",Females,"European Union - 28 countries (2013-2020)"
352,AF,Afghanistan,300,2019,02,"From 18 to 34 years",Females,"European Union - 28 countries (2013-2020)"
353,AF,Afghanistan,360,2019,03,"From 18 to 34 years",Females,"European Union - 28 countries (2013-2020)"
357,AF,Afghanistan,15,2019,01,"From 18 to 34 years",Females,France
358,AF,Afghanistan,15,2019,02,"From 18 to 34 years",Females,France
359,AF,Afghanistan,30,2019,03,"From 18 to 34 years",Females,France
365,AF,Afghanistan,5,2019,03,"From 18 to 34 years",Females,Hungary
405,AF,Afghanistan,5,2019,01,"From 18 to 34 years",Females,Sweden
406,AF,Afghanistan,10,2019,02,"From 18 to 34 years",Females,Sweden
407,AF,Afghanistan,5,2019,03,"From 18 to 34 years",Females,Sweden
409,AF,Afghanistan,5,2019,02,"From 18 to 34 years",Females,Slovenia
410,AF,Afghanistan,5,2019,03,"From 18 to 34 years",Females,Slovenia
414,AF,Afghanistan,380,2019,01,"From 18 to 34 years",Females,Total
415,AF,Afghanistan,310,2019,02,"From 18 to 34 years",Females,Total
416,AF,Afghanistan,380,2019,03,"From 18 to 34 years",Females,Total
417,AF,Afghanistan,15,2019,01,"From 18 to 34 years",Females,"United Kingdom"
418,AF,Afghanistan,15,2019,02,"From 18 to 34 years",Females,"United Kingdom"
419,AF,Afghanistan,20,2019,03,"From 18 to 34 years",Females,"United Kingdom"
420,AF,Afghanistan,10,2019,01,"From 35 to 64 years",Females,Austria
421,AF,Afghanistan,10,2019,02,"From 35 to 64 years",Females,Austria
422,AF,Afghanistan,5,2019,03,"From 35 to 64 years",Females,Austria
423,AF,Afghanistan,5,2019,01,"From 35 to 64 years",Females,Belgium
429,AF,Afghanistan,5,2019,01,"From 35 to 64 years",Females,Switzerland
430,AF,Afghanistan,5,2019,02,"From 35 to 64 years",Females,Switzerland
438,AF,Afghanistan,30,2019,01,"From 35 to 64 years",Females,"Germany (until 1990 former territory of the FRG)"
439,AF,Afghanistan,25,2019,02,"From 35 to 64 years",Females,"Germany (until 1990 former territory of the FRG)"
440,AF,Afghanistan,45,2019,03,"From 35 to 64 years",Females,"Germany (until 1990 former territory of the FRG)"
447,AF,Afghanistan,100,2019,01,"From 35 to 64 years",Females,Greece
448,AF,Afghanistan,50,2019,02,"From 35 to 64 years",Females,Greece
449,AF,Afghanistan,75,2019,03,"From 35 to 64 years",Females,Greece
453,AF,Afghanistan,160,2019,01,"From 35 to 64 years",Females,"European Union - 27 countries (from 2020)"
454,AF,Afghanistan,100,2019,02,"From 35 to 64 years",Females,"European Union - 27 countries (from 2020)"
455,AF,Afghanistan,150,2019,03,"From 35 to 64 years",Females,"European Union - 27 countries (from 2020)"
456,AF,Afghanistan,165,2019,01,"From 35 to 64 years",Females,"European Union - 28 countries (2013-2020)"
457,AF,Afghanistan,110,2019,02,"From 35 to 64 years",Females,"European Union - 28 countries (2013-2020)"
458,AF,Afghanistan,165,2019,03,"From 35 to 64 years",Females,"European Union - 28 countries (2013-2020)"
462,AF,Afghanistan,5,2019,01,"From 35 to 64 years",Females,France
463,AF,Afghanistan,5,2019,02,"From 35 to 64 years",Females,France
464,AF,Afghanistan,10,2019,03,"From 35 to 64 years",Females,France
496,AF,Afghanistan,5,2019,02,"From 35 to 64 years",Females,Netherlands
511,AF,Afghanistan,5,2019,02,"From 35 to 64 years",Females,Sweden
512,AF,Afghanistan,5,2019,03,"From 35 to 64 years",Females,Sweden
519,AF,Afghanistan,170,2019,01,"From 35 to 64 years",Females,Total
520,AF,Afghanistan,120,2019,02,"From 35 to 64 years",Females,Total
521,AF,Afghanistan,170,2019,03,"From 35 to 64 years",Females,Total
522,AF,Afghanistan,10,2019,01,"From 35 to 64 years",Females,"United Kingdom"
523,AF,Afghanistan,10,2019,02,"From 35 to 64 years",Females,"United Kingdom"
524,AF,Afghanistan,20,2019,03,"From 35 to 64 years",Females,"United Kingdom"
544,AF,Afghanistan,5,2019,02,"65 years or over",Females,"Germany (until 1990 former territory of the FRG)"
552,AF,Afghanistan,5,2019,01,"65 years or over",Females,Greece
553,AF,Afghanistan,5,2019,02,"65 years or over",Females,Greece
554,AF,Afghanistan,5,2019,03,"65 years or over",Females,Greece
558,AF,Afghanistan,10,2019,01,"65 years or over",Females,"European Union - 27 countries (from 2020)"
559,AF,Afghanistan,10,2019,02,"65 years or over",Females,"European Union - 27 countries (from 2020)"
560,AF,Afghanistan,10,2019,03,"65 years or over",Females,"European Union - 27 countries (from 2020)"
561,AF,Afghanistan,10,2019,01,"65 years or over",Females,"European Union - 28 countries (2013-2020)"
562,AF,Afghanistan,15,2019,02,"65 years or over",Females,"European Union - 28 countries (2013-2020)"
563,AF,Afghanistan,15,2019,03,"65 years or over",Females,"European Union - 28 countries (2013-2020)"
624,AF,Afghanistan,10,2019,01,"65 years or over",Females,Total
625,AF,Afghanistan,15,2019,02,"65 years or over",Females,Total
626,AF,Afghanistan,15,2019,03,"65 years or over",Females,Total
628,AF,Afghanistan,5,2019,02,"65 years or over",Females,"United Kingdom"
629,AF,Afghanistan,5,2019,03,"65 years or over",Females,"United Kingdom"
630,AF,Afghanistan,40,2019,01,"Less than 14 years",Females,Austria
631,AF,Afghanistan,45,2019,02,"Less than 14 years",Females,Austria
632,AF,Afghanistan,40,2019,03,"Less than 14 years",Females,Austria
633,AF,Afghanistan,20,2019,01,"Less than 14 years",Females,Belgium
634,AF,Afghanistan,5,2019,02,"Less than 14 years",Females,Belgium
635,AF,Afghanistan,5,2019,03,"Less than 14 years",Females,Belgium
639,AF,Afghanistan,20,2019,01,"Less than 14 years",Females,Switzerland
640,AF,Afghanistan,20,2019,02,"Less than 14 years",Females,Switzerland
641,AF,Afghanistan,15,2019,03,"Less than 14 years",Females,Switzerland
648,AF,Afghanistan,180,2019,01,"Less than 14 years",Females,"Germany (until 1990 former territory of the FRG)"
649,AF,Afghanistan,150,2019,02,"Less than 14 years",Females,"Germany (until 1990 former territory of the FRG)"
650,AF,Afghanistan,175,2019,03,"Less than 14 years",Females,"Germany (until 1990 former territory of the FRG)"
657,AF,Afghanistan,220,2019,01,"Less than 14 years",Females,Greece
658,AF,Afghanistan,200,2019,02,"Less than 14 years",Females,Greece
659,AF,Afghanistan,225,2019,03,"Less than 14 years",Females,Greece
663,AF,Afghanistan,500,2019,01,"Less than 14 years",Females,"European Union - 27 countries (from 2020)"
664,AF,Afghanistan,440,2019,02,"Less than 14 years",Females,"European Union - 27 countries (from 2020)"
665,AF,Afghanistan,515,2019,03,"Less than 14 years",Females,"European Union - 27 countries (from 2020)"
666,AF,Afghanistan,510,2019,01,"Less than 14 years",Females,"European Union - 28 countries (2013-2020)"
667,AF,Afghanistan,445,2019,02,"Less than 14 years",Females,"European Union - 28 countries (2013-2020)"
668,AF,Afghanistan,525,2019,03,"Less than 14 years",Females,"European Union - 28 countries (2013-2020)"
670,AF,Afghanistan,5,2019,02,"Less than 14 years",Females,Finland
672,AF,Afghanistan,15,2019,01,"Less than 14 years",Females,France
673,AF,Afghanistan,15,2019,02,"Less than 14 years",Females,France
674,AF,Afghanistan,45,2019,03,"Less than 14 years",Females,France
678,AF,Afghanistan,5,2019,01,"Less than 14 years",Females,Hungary
679,AF,Afghanistan,5,2019,02,"Less than 14 years",Females,Hungary
680,AF,Afghanistan,5,2019,03,"Less than 14 years",Females,Hungary
693,AF,Afghanistan,5,2019,01,"Less than 14 years",Females,Lithuania
720,AF,Afghanistan,10,2019,01,"Less than 14 years",Females,Sweden
721,AF,Afghanistan,10,2019,02,"Less than 14 years",Females,Sweden
722,AF,Afghanistan,10,2019,03,"Less than 14 years",Females,Sweden
729,AF,Afghanistan,535,2019,01,"Less than 14 years",Females,Total
730,AF,Afghanistan,465,2019,02,"Less than 14 years",Females,Total
731,AF,Afghanistan,540,2019,03,"Less than 14 years",Females,Total
732,AF,Afghanistan,15,2019,01,"Less than 14 years",Females,"United Kingdom"
733,AF,Afghanistan,5,2019,02,"Less than 14 years",Females,"United Kingdom"
734,AF,Afghanistan,10,2019,03,"Less than 14 years",Females,"United Kingdom"
735,AF,Afghanistan,40,2019,01,"Less than 18 years",Females,Austria
736,AF,Afghanistan,50,2019,02,"Less than 18 years",Females,Austria
737,AF,Afghanistan,40,2019,03,"Less than 18 years",Females,Austria
738,AF,Afghanistan,25,2019,01,"Less than 18 years",Females,Belgium
739,AF,Afghanistan,10,2019,02,"Less than 18 years",Females,Belgium
740,AF,Afghanistan,10,2019,03,"Less than 18 years",Females,Belgium
744,AF,Afghanistan,25,2019,01,"Less than 18 years",Females,Switzerland
745,AF,Afghanistan,20,2019,02,"Less than 18 years",Females,Switzerland
746,AF,Afghanistan,15,2019,03,"Less than 18 years",Females,Switzerland
753,AF,Afghanistan,195,2019,01,"Less than 18 years",Females,"Germany (until 1990 former territory of the FRG)"
754,AF,Afghanistan,165,2019,02,"Less than 18 years",Females,"Germany (until 1990 former territory of the FRG)"
755,AF,Afghanistan,195,2019,03,"Less than 18 years",Females,"Germany (until 1990 former territory of the FRG)"
762,AF,Afghanistan,290,2019,01,"Less than 18 years",Females,Greece
763,AF,Afghanistan,245,2019,02,"Less than 18 years",Females,Greece
764,AF,Afghanistan,280,2019,03,"Less than 18 years",Females,Greece
768,AF,Afghanistan,595,2019,01,"Less than 18 years",Females,"European Union - 27 countries (from 2020)"
769,AF,Afghanistan,515,2019,02,"Less than 18 years",Females,"European Union - 27 countries (from 2020)"
770,AF,Afghanistan,610,2019,03,"Less than 18 years",Females,"European Union - 27 countries (from 2020)"
771,AF,Afghanistan,615,2019,01,"Less than 18 years",Females,"European Union - 28 countries (2013-2020)"
772,AF,Afghanistan,525,2019,02,"Less than 18 years",Females,"European Union - 28 countries (2013-2020)"
773,AF,Afghanistan,625,2019,03,"Less than 18 years",Females,"European Union - 28 countries (2013-2020)"
775,AF,Afghanistan,5,2019,02,"Less than 18 years",Females,Finland
777,AF,Afghanistan,15,2019,01,"Less than 18 years",Females,France
778,AF,Afghanistan,15,2019,02,"Less than 18 years",Females,France
779,AF,Afghanistan,50,2019,03,"Less than 18 years",Females,France
783,AF,Afghanistan,5,2019,01,"Less than 18 years",Females,Hungary
784,AF,Afghanistan,5,2019,02,"Less than 18 years",Females,Hungary
785,AF,Afghanistan,5,2019,03,"Less than 18 years",Females,Hungary
798,AF,Afghanistan,5,2019,01,"Less than 18 years",Females,Lithuania
801,AF,Afghanistan,5,2019,01,"Less than 18 years",Females,Luxembourg
811,AF,Afghanistan,5,2019,02,"Less than 18 years",Females,Netherlands
825,AF,Afghanistan,10,2019,01,"Less than 18 years",Females,Sweden
826,AF,Afghanistan,15,2019,02,"Less than 18 years",Females,Sweden
827,AF,Afghanistan,10,2019,03,"Less than 18 years",Females,Sweden
834,AF,Afghanistan,640,2019,01,"Less than 18 years",Females,Total
835,AF,Afghanistan,545,2019,02,"Less than 18 years",Females,Total
836,AF,Afghanistan,640,2019,03,"Less than 18 years",Females,Total
837,AF,Afghanistan,20,2019,01,"Less than 18 years",Females,"United Kingdom"
838,AF,Afghanistan,10,2019,02,"Less than 18 years",Females,"United Kingdom"
839,AF,Afghanistan,15,2019,03,"Less than 18 years",Females,"United Kingdom"
840,AF,Afghanistan,90,2019,01,Total,Males,Austria
841,AF,Afghanistan,105,2019,02,Total,Males,Austria
842,AF,Afghanistan,130,2019,03,Total,Males,Austria
843,AF,Afghanistan,105,2019,01,Total,Males,Belgium
844,AF,Afghanistan,85,2019,02,Total,Males,Belgium
845,AF,Afghanistan,100,2019,03,Total,Males,Belgium
846,AF,Afghanistan,75,2019,01,Total,Males,Bulgaria
847,AF,Afghanistan,35,2019,02,Total,Males,Bulgaria
848,AF,Afghanistan,15,2019,03,Total,Males,Bulgaria
849,AF,Afghanistan,65,2019,01,Total,Males,Switzerland
850,AF,Afghanistan,60,2019,02,Total,Males,Switzerland
851,AF,Afghanistan,50,2019,03,Total,Males,Switzerland
856,AF,Afghanistan,5,2019,02,Total,Males,Czechia
858,AF,Afghanistan,470,2019,01,Total,Males,"Germany (until 1990 former territory of the FRG)"
859,AF,Afghanistan,355,2019,02,Total,Males,"Germany (until 1990 former territory of the FRG)"
860,AF,Afghanistan,430,2019,03,Total,Males,"Germany (until 1990 former territory of the FRG)"
861,AF,Afghanistan,5,2019,01,Total,Males,Denmark
863,AF,Afghanistan,10,2019,03,Total,Males,Denmark
867,AF,Afghanistan,1000,2019,01,Total,Males,Greece
868,AF,Afghanistan,795,2019,02,Total,Males,Greece
869,AF,Afghanistan,1010,2019,03,Total,Males,Greece
870,AF,Afghanistan,10,2019,01,Total,Males,Spain
871,AF,Afghanistan,5,2019,02,Total,Males,Spain
872,AF,Afghanistan,10,2019,03,Total,Males,Spain
873,AF,Afghanistan,2410,2019,01,Total,Males,"European Union - 27 countries (from 2020)"
874,AF,Afghanistan,2085,2019,02,Total,Males,"European Union - 27 countries (from 2020)"
875,AF,Afghanistan,2535,2019,03,Total,Males,"European Union - 27 countries (from 2020)"
876,AF,Afghanistan,2520,2019,01,Total,Males,"European Union - 28 countries (2013-2020)"
877,AF,Afghanistan,2200,2019,02,Total,Males,"European Union - 28 countries (2013-2020)"
878,AF,Afghanistan,2655,2019,03,Total,Males,"European Union - 28 countries (2013-2020)"
879,AF,Afghanistan,5,2019,01,Total,Males,Finland
880,AF,Afghanistan,10,2019,02,Total,Males,Finland
881,AF,Afghanistan,5,2019,03,Total,Males,Finland
882,AF,Afghanistan,515,2019,01,Total,Males,France
883,AF,Afghanistan,525,2019,02,Total,Males,France
884,AF,Afghanistan,670,2019,03,Total,Males,France
886,AF,Afghanistan,5,2019,02,Total,Males,Croatia
887,AF,Afghanistan,5,2019,03,Total,Males,Croatia
888,AF,Afghanistan,10,2019,01,Total,Males,Hungary
889,AF,Afghanistan,5,2019,02,Total,Males,Hungary
890,AF,Afghanistan,10,2019,03,Total,Males,Hungary
891,AF,Afghanistan,5,2019,01,Total,Males,Ireland
892,AF,Afghanistan,10,2019,02,Total,Males,Ireland
893,AF,Afghanistan,5,2019,03,Total,Males,Ireland
894,AF,Afghanistan,5,2019,01,Total,Males,Iceland
895,AF,Afghanistan,5,2019,02,Total,Males,Iceland
896,AF,Afghanistan,5,2019,03,Total,Males,Iceland
897,AF,Afghanistan,40,2019,01,Total,Males,Italy
898,AF,Afghanistan,40,2019,02,Total,Males,Italy
899,AF,Afghanistan,45,2019,03,Total,Males,Italy
906,AF,Afghanistan,5,2019,01,Total,Males,Luxembourg
907,AF,Afghanistan,10,2019,02,Total,Males,Luxembourg
908,AF,Afghanistan,10,2019,03,Total,Males,Luxembourg
915,AF,Afghanistan,15,2019,01,Total,Males,Netherlands
916,AF,Afghanistan,15,2019,02,Total,Males,Netherlands
917,AF,Afghanistan,20,2019,03,Total,Males,Netherlands
918,AF,Afghanistan,5,2019,01,Total,Males,Norway
919,AF,Afghanistan,5,2019,02,Total,Males,Norway
920,AF,Afghanistan,5,2019,03,Total,Males,Norway
921,AF,Afghanistan,5,2019,01,Total,Males,Poland
922,AF,Afghanistan,10,2019,02,Total,Males,Poland
923,AF,Afghanistan,10,2019,03,Total,Males,Poland
925,AF,Afghanistan,5,2019,02,Total,Males,Portugal
928,AF,Afghanistan,10,2019,02,Total,Males,Romania
930,AF,Afghanistan,20,2019,01,Total,Males,Sweden
931,AF,Afghanistan,20,2019,02,Total,Males,Sweden
932,AF,Afghanistan,25,2019,03,Total,Males,Sweden
933,AF,Afghanistan,20,2019,01,Total,Males,Slovenia
934,AF,Afghanistan,35,2019,02,Total,Males,Slovenia
935,AF,Afghanistan,20,2019,03,Total,Males,Slovenia
936,AF,Afghanistan,10,2019,01,Total,Males,Slovakia
938,AF,Afghanistan,15,2019,03,Total,Males,Slovakia
939,AF,Afghanistan,2595,2019,01,Total,Males,Total
940,AF,Afghanistan,2265,2019,02,Total,Males,Total
941,AF,Afghanistan,2715,2019,03,Total,Males,Total
942,AF,Afghanistan,105,2019,01,Total,Males,"United Kingdom"
943,AF,Afghanistan,115,2019,02,Total,Males,"United Kingdom"
944,AF,Afghanistan,120,2019,03,Total,Males,"United Kingdom"
981,AF,Afghanistan,5,2019,01,Unknown,Males,"European Union - 28 countries (2013-2020)"
983,AF,Afghanistan,5,2019,03,Unknown,Males,"European Union - 28 countries (2013-2020)"
1044,AF,Afghanistan,5,2019,01,Unknown,Males,Total
1046,AF,Afghanistan,5,2019,03,Unknown,Males,Total
1047,AF,Afghanistan,5,2019,01,Unknown,Males,"United Kingdom"
1049,AF,Afghanistan,5,2019,03,Unknown,Males,"United Kingdom"
1050,AF,Afghanistan,20,2019,01,"From 14 to 17 years",Males,Austria
1051,AF,Afghanistan,25,2019,02,"From 14 to 17 years",Males,Austria
1052,AF,Afghanistan,40,2019,03,"From 14 to 17 years",Males,Austria
1053,AF,Afghanistan,40,2019,01,"From 14 to 17 years",Males,Belgium
1054,AF,Afghanistan,35,2019,02,"From 14 to 17 years",Males,Belgium
1055,AF,Afghanistan,30,2019,03,"From 14 to 17 years",Males,Belgium
1056,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Males,Bulgaria
1057,AF,Afghanistan,15,2019,02,"From 14 to 17 years",Males,Bulgaria
1059,AF,Afghanistan,15,2019,01,"From 14 to 17 years",Males,Switzerland
1060,AF,Afghanistan,15,2019,02,"From 14 to 17 years",Males,Switzerland
1061,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Males,Switzerland
1068,AF,Afghanistan,45,2019,01,"From 14 to 17 years",Males,"Germany (until 1990 former territory of the FRG)"
1069,AF,Afghanistan,50,2019,02,"From 14 to 17 years",Males,"Germany (until 1990 former territory of the FRG)"
1070,AF,Afghanistan,45,2019,03,"From 14 to 17 years",Males,"Germany (until 1990 former territory of the FRG)"
1077,AF,Afghanistan,165,2019,01,"From 14 to 17 years",Males,Greece
1078,AF,Afghanistan,140,2019,02,"From 14 to 17 years",Males,Greece
1079,AF,Afghanistan,150,2019,03,"From 14 to 17 years",Males,Greece
1083,AF,Afghanistan,305,2019,01,"From 14 to 17 years",Males,"European Union - 27 countries (from 2020)"
1084,AF,Afghanistan,305,2019,02,"From 14 to 17 years",Males,"European Union - 27 countries (from 2020)"
1085,AF,Afghanistan,325,2019,03,"From 14 to 17 years",Males,"European Union - 27 countries (from 2020)"
1086,AF,Afghanistan,325,2019,01,"From 14 to 17 years",Males,"European Union - 28 countries (2013-2020)"
1087,AF,Afghanistan,325,2019,02,"From 14 to 17 years",Males,"European Union - 28 countries (2013-2020)"
1088,AF,Afghanistan,355,2019,03,"From 14 to 17 years",Males,"European Union - 28 countries (2013-2020)"
1093,AF,Afghanistan,5,2019,02,"From 14 to 17 years",Males,France
1094,AF,Afghanistan,15,2019,03,"From 14 to 17 years",Males,France
1107,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Males,Italy
1109,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Males,Italy
1125,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Males,Netherlands
1127,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Males,Netherlands
1133,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Males,Poland
1143,AF,Afghanistan,10,2019,01,"From 14 to 17 years",Males,Slovenia
1144,AF,Afghanistan,20,2019,02,"From 14 to 17 years",Males,Slovenia
1145,AF,Afghanistan,5,2019,03,"From 14 to 17 years",Males,Slovenia
1146,AF,Afghanistan,5,2019,01,"From 14 to 17 years",Males,Slovakia
1148,AF,Afghanistan,10,2019,03,"From 14 to 17 years",Males,Slovakia
1149,AF,Afghanistan,345,2019,01,"From 14 to 17 years",Males,Total
1150,AF,Afghanistan,340,2019,02,"From 14 to 17 years",Males,Total
1151,AF,Afghanistan,360,2019,03,"From 14 to 17 years",Males,Total
1152,AF,Afghanistan,25,2019,01,"From 14 to 17 years",Males,"United Kingdom"
1153,AF,Afghanistan,25,2019,02,"From 14 to 17 years",Males,"United Kingdom"
1154,AF,Afghanistan,30,2019,03,"From 14 to 17 years",Males,"United Kingdom"
1155,AF,Afghanistan,15,2019,01,"From 18 to 34 years",Males,Austria
1156,AF,Afghanistan,30,2019,02,"From 18 to 34 years",Males,Austria
1157,AF,Afghanistan,30,2019,03,"From 18 to 34 years",Males,Austria
1158,AF,Afghanistan,35,2019,01,"From 18 to 34 years",Males,Belgium
